Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,Path
1,com.apython.python.pythonhost.views.sdl,SDLInputConnection,1,0,8,6,54,15,0,0,0.25,1,1,APython/app-src-main-java-com-apython-python-pythonhost-views-sdl-SDLInputConnection
2,com.apython.python.pythonhost.views.sdl,SDLInputConnection,1,0,5,4,39,9,0,0,0.4,0,0,APython/app-src-main-java-com-apython-python-pythonhost-views-sdl-SDLInputConnection
3,com.apython.python.pythonhost.views.sdl,SDLInputConnection,1,0,5,4,39,9,0,0,0.4,0,0,APython/app-src-main-java-com-apython-python-pythonhost-views-sdl-SDLInputConnection
4,com.apython.python.pythonhost.views.sdl,SDLInputConnection,1,0,5,4,39,9,0,0,0.4,0,0,APython/app-src-main-java-com-apython-python-pythonhost-views-sdl-SDLInputConnection
5,com.apython.python.pythonhost.views.sdl,SDLInputConnection,1,0,5,5,39,9,0,0,0.4,0,0,APython/app-src-main-java-com-apython-python-pythonhost-views-sdl-SDLInputConnection
6,com.apython.python.pythonhost.views.sdl,SDLInputConnection,1,0,5,5,39,9,0,0,0.4,0,0,APython/app-src-main-java-com-apython-python-pythonhost-views-sdl-SDLInputConnection
7,com.apython.python.pythonhost.views.sdl,SDLInputConnection,1,0,5,5,39,9,0,0,0.4,0,0,APython/app-src-main-java-com-apython-python-pythonhost-views-sdl-SDLInputConnection
1,rang.afterflight.fragments,DateDialogFragment,2,0,5,5,33,6,0,0,0.6,1,1,AfterFlight/AfterFlight-app-src-main-java-rang-afterflight-fragments-DateDialogFragment
2,rang.afterflight.fragments,DateDialogFragment,2,0,5,5,33,6,0,0,0.6,1,1,AfterFlight/AfterFlight-app-src-main-java-rang-afterflight-fragments-DateDialogFragment
3,rang.afterflight.fragments,DateDialogFragment,2,0,5,5,33,6,0,0,0.6,1,1,AfterFlight/AfterFlight-app-src-main-java-rang-afterflight-fragments-DateDialogFragment
4,rang.afterflight.fragments,DateDialogFragment,2,0,5,5,33,6,0,0,0.6,1,1,AfterFlight/AfterFlight-app-src-main-java-rang-afterflight-fragments-DateDialogFragment
5,rang.afterflight.fragments,DateDialogFragment,2,0,5,5,33,6,0,0,0.6,1,1,AfterFlight/AfterFlight-app-src-main-java-rang-afterflight-fragments-DateDialogFragment
1,io.github.phora.androtsh,DBHelper,15,10,17,16,174,30,0,0,0.2352941176470588,1,1,AndroTSH/app-src-main-java-io-github-phora-androtsh-DBHelper
2,io.github.phora.androtsh,DBHelper,15,10,17,16,174,30,0,0,0.2352941176470588,1,1,AndroTSH/app-src-main-java-io-github-phora-androtsh-DBHelper
3,io.github.phora.androtsh,DBHelper,15,10,17,16,174,30,0,0,0.2352941176470588,1,1,AndroTSH/app-src-main-java-io-github-phora-androtsh-DBHelper
